TEXT,LATITUDE,LONGITUDE,ALTITUDE,TYPE
1969,45.4641943,9.1896346,5114,year
1955,43.2961743,5.3699525,0,year
1956,43.2961743,5.3699525,365,year
1957,43.2961743,5.3699525,731,year
1958,43.2961743,5.3699525,1096,year
1959,43.2961743,5.3699525,1461,year
1960,43.2961743,5.3699525,1826,year
1961,43.2961743,5.3699525,2192,year
1962,43.2961743,5.3699525,2557,year
1963,43.2961743,5.3699525,2922,year
1964,43.2961743,5.3699525,3287,year
1965,43.2961743,5.3699525,3653,year
1966,43.2961743,5.3699525,4018,year
1967,43.2961743,5.3699525,4383,year
1968,43.2961743,5.3699525,4748,year
1969,43.2961743,5.3699525,5114,year
1970,43.2961743,5.3699525,5479,year
1971,43.2961743,5.3699525,5844,year
1955,50.8465573,4.351697,0,year
1956,50.8465573,4.351697,365,year
1957,50.8465573,4.351697,731,year
1958,50.8465573,4.351697,1096,year
1959,50.8465573,4.351697,1461,year
1960,50.8465573,4.351697,1826,year
1961,50.8465573,4.351697,2192,year
1962,50.8465573,4.351697,2557,year
1963,50.8465573,4.351697,2922,year
1964,50.8465573,4.351697,3287,year
1965,50.8465573,4.351697,3653,year
1966,50.8465573,4.351697,4018,year
1967,50.8465573,4.351697,4383,year
1968,50.8465573,4.351697,4748,year
1969,50.8465573,4.351697,5114,year
1970,50.8465573,4.351697,5479,year
1971,50.8465573,4.351697,5844,year
1972,50.8465573,4.351697,6209,year
1955,53.4071991,-2.99168,0,year
1956,53.4071991,-2.99168,365,year
1957,53.4071991,-2.99168,731,year
1958,53.4071991,-2.99168,1096,year
1959,53.4071991,-2.99168,1461,year
1960,53.4071991,-2.99168,1826,year
1961,53.4071991,-2.99168,2192,year
1962,53.4071991,-2.99168,2557,year
1963,53.4071991,-2.99168,2922,year
1964,53.4071991,-2.99168,3287,year
1965,53.4071991,-2.99168,3653,year
1966,53.4071991,-2.99168,4018,year
1967,53.4071991,-2.99168,4383,year
1968,53.4071991,-2.99168,4748,year
1969,53.4071991,-2.99168,5114,year
1970,53.4071991,-2.99168,5479,year
1971,53.4071991,-2.99168,5844,year
1972,53.4071991,-2.99168,6209,year
1973,53.4071991,-2.99168,6575,year
1955,19.4326296,-99.1331785,0,year
1956,19.4326296,-99.1331785,365,year
1957,19.4326296,-99.1331785,731,year
1958,19.4326296,-99.1331785,1096,year
1959,19.4326296,-99.1331785,1461,year
1960,19.4326296,-99.1331785,1826,year
1961,19.4326296,-99.1331785,2192,year
1962,19.4326296,-99.1331785,2557,year
1963,19.4326296,-99.1331785,2922,year
1964,19.4326296,-99.1331785,3287,year
1965,19.4326296,-99.1331785,3653,year
1966,19.4326296,-99.1331785,4018,year
1967,19.4326296,-99.1331785,4383,year
1968,19.4326296,-99.1331785,4748,year
1969,19.4326296,-99.1331785,5114,year
1970,19.4326296,-99.1331785,5479,year
1971,19.4326296,-99.1331785,5844,year
1972,19.4326296,-99.1331785,6209,year
1973,19.4326296,-99.1331785,6575,year
1955,45.5031824,-73.5698065,0,year
1956,45.5031824,-73.5698065,365,year
1957,45.5031824,-73.5698065,731,year
1958,45.5031824,-73.5698065,1096,year
1959,45.5031824,-73.5698065,1461,year
1960,45.5031824,-73.5698065,1826,year
1961,45.5031824,-73.5698065,2192,year
1962,45.5031824,-73.5698065,2557,year
1963,45.5031824,-73.5698065,2922,year
1964,45.5031824,-73.5698065,3287,year
1965,45.5031824,-73.5698065,3653,year
1966,45.5031824,-73.5698065,4018,year
1967,45.5031824,-73.5698065,4383,year
1968,45.5031824,-73.5698065,4748,year
1969,45.5031824,-73.5698065,5114,year
1970,45.5031824,-73.5698065,5479,year
1971,45.5031824,-73.5698065,5844,year
1972,45.5031824,-73.5698065,6209,year
1973,45.5031824,-73.5698065,6575,year
1955,39.2908816,-76.610759,0,year
1956,39.2908816,-76.610759,365,year
1957,39.2908816,-76.610759,731,year
1958,39.2908816,-76.610759,1096,year
1959,39.2908816,-76.610759,1461,year
1960,39.2908816,-76.610759,1826,year
1961,39.2908816,-76.610759,2192,year
1962,39.2908816,-76.610759,2557,year
1963,39.2908816,-76.610759,2922,year
1964,39.2908816,-76.610759,3287,year
1965,39.2908816,-76.610759,3653,year
1966,39.2908816,-76.610759,4018,year
1967,39.2908816,-76.610759,4383,year
1968,39.2908816,-76.610759,4748,year
1969,39.2908816,-76.610759,5114,year
1970,39.2908816,-76.610759,5479,year
1971,39.2908816,-76.610759,5844,year
1972,39.2908816,-76.610759,6209,year
1973,39.2908816,-76.610759,6575,year
1955,-37.8142454,144.9631732,0,year
1956,-37.8142454,144.9631732,365,year
1957,-37.8142454,144.9631732,731,year
1958,-37.8142454,144.9631732,1096,year
1959,-37.8142454,144.9631732,1461,year
1960,-37.8142454,144.9631732,1826,year
1961,-37.8142454,144.9631732,2192,year
1962,-37.8142454,144.9631732,2557,year
1963,-37.8142454,144.9631732,2922,year
1964,-37.8142454,144.9631732,3287,year
1965,-37.8142454,144.9631732,3653,year
1966,-37.8142454,144.9631732,4018,year
1967,-37.8142454,144.9631732,4383,year
1968,-37.8142454,144.9631732,4748,year
1969,-37.8142454,144.9631732,5114,year
1970,-37.8142454,144.9631732,5479,year
1971,-37.8142454,144.9631732,5844,year
1972,-37.8142454,144.9631732,6209,year
1973,-37.8142454,144.9631732,6575,year
1974,-37.8142454,144.9631732,6940,year
1955,43.6534817,-79.3839347,0,year
1956,43.6534817,-79.3839347,365,year
1957,43.6534817,-79.3839347,731,year
1958,43.6534817,-79.3839347,1096,year
1959,43.6534817,-79.3839347,1461,year
1960,43.6534817,-79.3839347,1826,year
1961,43.6534817,-79.3839347,2192,year
1962,43.6534817,-79.3839347,2557,year
1963,43.6534817,-79.3839347,2922,year
1964,43.6534817,-79.3839347,3287,year
1965,43.6534817,-79.3839347,3653,year
1966,43.6534817,-79.3839347,4018,year
1967,43.6534817,-79.3839347,4383,year
1968,43.6534817,-79.3839347,4748,year
1969,43.6534817,-79.3839347,5114,year
1970,43.6534817,-79.3839347,5479,year
1971,43.6534817,-79.3839347,5844,year
1972,43.6534817,-79.3839347,6209,year
1973,43.6534817,-79.3839347,6575,year
1974,43.6534817,-79.3839347,6940,year
1975,43.6534817,-79.3839347,7305,year
1955,40.4167047,-3.7035825,0,year
1956,40.4167047,-3.7035825,365,year
1957,40.4167047,-3.7035825,731,year
1958,40.4167047,-3.7035825,1096,year
1959,40.4167047,-3.7035825,1461,year
1960,40.4167047,-3.7035825,1826,year
1961,40.4167047,-3.7035825,2192,year
1962,40.4167047,-3.7035825,2557,year
1963,40.4167047,-3.7035825,2922,year
1964,40.4167047,-3.7035825,3287,year
1965,40.4167047,-3.7035825,3653,year
1966,40.4167047,-3.7035825,4018,year
1967,40.4167047,-3.7035825,4383,year
1968,40.4167047,-3.7035825,4748,year
1969,40.4167047,-3.7035825,5114,year
1970,40.4167047,-3.7035825,5479,year
1971,40.4167047,-3.7035825,5844,year
1972,40.4167047,-3.7035825,6209,year
1973,40.4167047,-3.7035825,6575,year
1974,40.4167047,-3.7035825,6940,year
1975,40.4167047,-3.7035825,7305,year
1976,40.4167047,-3.7035825,7670,year
1955,52.3730796,4.8924534,0,year
1956,52.3730796,4.8924534,365,year
1957,52.3730796,4.8924534,731,year
1958,52.3730796,4.8924534,1096,year
1959,52.3730796,4.8924534,1461,year
1960,52.3730796,4.8924534,1826,year
1961,52.3730796,4.8924534,2192,year
1962,52.3730796,4.8924534,2557,year
1963,52.3730796,4.8924534,2922,year
